Oman,...,...,...,...,...,...,...,...,35
Pakistan,22,67,43,126,56,205,124,183,322
Panama,154,180,181,191,175,191,178,201,186
Papua New Guinea,68,210,328,448,573,497,507,717,959
Paraguay,140,193,179,172,204,175,223,214,246
Peru,402,601,700,712,716,683,739,774,934
Philippines,12,18,19,14,23,32,43,53,67
Poland,...,...,...,...,...,...,...,...,...
Portugal,...,...,...,...,...,...,...,...,...
Qatar,...,...,...,...,...,...,...,...,...
Republic of Korea,...,...,...,...,...,...,...,...,...
Republic of Moldova,123,123,141,146,152,175,196,210,183
Romania,191,238,264,259,214,236,264,244,232
Russian Federation,...,...,...,...,...,...,...,...,13627
Rwanda,6913,10507.77,8967,9150,9432,9995,8898,8136,8552
Saint Kitts and Nevis,,,,,,,,,1
Saudi Arabia,...,...,...,...,...,...,...,...,43
Senegal,721,850,971,1358,1122,1352,1353,1231,1401
Serbia,...,...,...,...,...,...,...,...,...
Seychelles,,,,,,,,,15
Sierra Leone,1805,2338,3018,2686,2585,3212,3600,3795,4358
Singapore,...,...,...,...,...,...,...,...,18
Slovakia,...,...,...,...,...,...,...,...,...
Slovenia,...,...,...,...,...,...,...,...,...
Somalia,1.74,145.57,44.24,22.08,34.25,74,76,80,88
South Africa,176818.3,221487.79,236702.15,240760.25,242168.79,246829.73,250865.25,249792.78,247690.23
South Sudan,673.99,938.84,1059.42,1943.59,1847.11,4037.05,2754.97,5358.48,5534.16
Spain,...,...,...,...,...,...,...,...,...
Sri Lanka,...,...,...,...,...,...,...,...,16
Sudan,87,44,90,74,109,114,91,134,100
Suriname,80,106,108,177,170,119,107,88,85
Sweden,...,...,...,...,...,...,...,...,...
Switzerland,...,...,...,...,...,...,...,...,...
Syrian Arab Republic,...,...,...,...,...,...,...,...,9
Tajikistan,40,60,83,103,157,167,179,161,219
Thailand,8045,7434,6816,6204,5693,5142,4639,4166,3787
Timor-Leste,...,...,...,...,...,...,...,...,...
Togo,1100.35,4173,4404.02,4453.36,4462.37,4642,4860,3899,4331
Trinidad and Tobago,...,...,...,...,...,...,...,...,...
Tunisia,...,...,...,...,...,...,...,...,13
Turkey,...,...,...,...,...,...,...,...,...
Turkmenistan,...,...,...,...,...,...,...,...,...
Uganda,28590,48206,78236.08,88266,112909,115771.27,115267,107170,94806
Ukraine,3339,3592,3634,3548,3293,2698,2588,2340,2229
United Arab Emirates,...,...,...,...,...,...,...,...,5
United Kingdom,...,...,...,...,...,...,...,...,...
United Republic of Tanzania,57928.17,70978.18,73999.75,74206,71088,68697,66662,74702,76967
United States,...,...,...,...,...,...,...,...,...
Uruguay,118,136,142,123,132,121,130,132.2,138.4
Uzbekistan,859,1129,530,580,536,524,548,446,539
Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,...,406
Viet Nam,1427,1231,1294,1192,1628,1692,1865,1954,1932
Yemen,34,22,30,32,39,26,26,26,26
Zambia,35494.37,37571.78,40124.2,42917.38,45522.21,49796.76,53877.47,58700.52,56543
Zimbabwe,21139.5,38175.33,58633.17,58183,58667,57378,59599,60570,59621
Global,582419.68,762654.02,890926.84,954673.75,1031807.91,1058996.81,1070030.65,1076894.84,1070573.78
